[vert.x-worker-thread-6] 03:16:03,162 INFO [thhi.vertx~renderer~0.6.0-thhi.vertx.renderer.RenderVerticle-2118531848]  RenderVerticle started
[vert.x-worker-thread-8] 03:16:03,185 INFO [null-thhi.vertx.iteramock.ExtractorVerticle-491969302]  ExtractorVerticle: reading rule script rules\dispatch.groovy
[vert.x-worker-thread-8] 03:16:03,217 INFO [null-thhi.vertx.iteramock.ExtractorVerticle-491969302]  ExtractorVerticle: reading rule script rules\test-response.groovy
[vert.x-worker-thread-8] 03:16:03,267 INFO [null-thhi.vertx.iteramock.ExtractorVerticle-491969302]  ExtractorVerticle: read 2 rule scripts in 102ms
[vert.x-worker-thread-8] 03:16:03,270 INFO [null-thhi.vertx.iteramock.ExtractorVerticle-491969302]  ExtractorVerticle started
[vert.x-eventloop-thread-1] 03:16:03,465 INFO [null-thhi.vertx.iteramock.MockServerVerticle-1078341582]  MockServerVerticle started
[vert.x-eventloop-thread-1] 03:16:03,469 INFO [thhi.vertx~iteramock~0.5.5-thhi.vertx.iteramock.StarterVerticle-1656671432]  StarterVerticle: deployed Renderer deployment-289e917c-2dfc-4254-839e-bb049aff12a2
[vert.x-eventloop-thread-1] 03:16:03,471 INFO [thhi.vertx~iteramock~0.5.5-thhi.vertx.iteramock.StarterVerticle-1656671432]  StarterVerticle: deployed Extractor deployment-35db1607-6c73-41a3-be6b-9c798a547dbd
[vert.x-eventloop-thread-1] 03:16:03,472 INFO [thhi.vertx~iteramock~0.5.5-thhi.vertx.iteramock.StarterVerticle-1656671432]  StarterVerticle: deployed MockServer deployment-7878ad4f-2d05-46a8-a595-d3eae4a40feb
[vert.x-eventloop-thread-1] 03:16:07,701 INFO [null-thhi.vertx.iteramock.MockServerVerticle-1078341582]  MockServer: received request GET /
[vert.x-eventloop-thread-1] 03:16:07,815 INFO [null-thhi.vertx.iteramock.MockServerVerticle-1078341582]  MockServer: received request GET /css/bootstrap.min.css
[vert.x-eventloop-thread-1] 03:16:07,826 INFO [null-thhi.vertx.iteramock.MockServerVerticle-1078341582]  MockServer: received request GET /css/bootstrap-responsive.min.css
[vert.x-eventloop-thread-1] 03:16:07,830 INFO [null-thhi.vertx.iteramock.MockServerVerticle-1078341582]  MockServer: received request GET /css/main.css
[vert.x-eventloop-thread-1] 03:16:07,833 INFO [null-thhi.vertx.iteramock.MockServerVerticle-1078341582]  MockServer: received request GET /js/vertxbus.js
[vert.x-eventloop-thread-1] 03:16:07,837 INFO [null-thhi.vertx.iteramock.MockServerVerticle-1078341582]  MockServer: received request GET /js/index.js
[vert.x-eventloop-thread-1] 03:16:07,844 INFO [null-thhi.vertx.iteramock.MockServerVerticle-1078341582]  MockServer: received request GET /js/dispatch-rule.js
[vert.x-eventloop-thread-1] 03:16:07,847 INFO [null-thhi.vertx.iteramock.MockServerVerticle-1078341582]  MockServer: received request GET /js/templates.js
[vert.x-eventloop-thread-1] 03:16:08,011 INFO [null-thhi.vertx.iteramock.MockServerVerticle-1078341582]  MockServer: received request GET /favicon.ico
[vert.x-worker-thread-3] 03:16:43,916 INFO [null-thhi.vertx.iteramock.ExtractorVerticle-491969302]  ExtractorVerticle: received [action:fetch]
[vert.x-worker-thread-3] 03:16:43,922 INFO [null-thhi.vertx.iteramock.ExtractorVerticle-491969302]  ExtractorVerticle: sent dispatch rule to client
